age,norm_epa
11,1478.0
2,1574.0
0,1429.0
6,1417.0
17,1538.0
0,1457.0
0,1395.0
17,1501.0
16,1501.0
0,1444.0
6,1431.0
1,1440.0
4,1471.0
4,1441.0
2,1511.0
12,1321.0
1,1360.0
0,1457.0
13,1545.0
19,1592.0
8,1563.0
6,1541.0
15,1425.0
5,1463.0
7,1495.0
19,1447.0
5,1414.0
3,1431.0
12,1554.0
1,1517.0
14,1496.0
17,1718.0
19,1551.0
0,1358.0
10,1456.0
6,1557.0
5,1385.0
18,1589.0
15,1503.0
18,1344.0
16,1526.0
14,1561.0
4,1747.0
8,1423.0
1,1502.0
18,1596.0
11,1418.0
8,1452.0
5,1576.0
14,1467.0
3,1608.0
14,1478.0
4,1477.0
3,1460.0
0,1516.0
11,1838.0
11,1590.0
0,1462.0
12,1567.0
13,1384.0
5,1479.0
1,1487.0
18,1465.0
19,1472.0
4,1409.0
8,1555.0
15,1447.0
11,1686.0
15,1561.0
12,1406.0
4,1359.0
11,1505.0
1,1503.0
5,1561.0
8,1551.0
18,1647.0
11,1534.0
5,1504.0
0,1439.0
7,1758.0
7,1425.0
12,1587.0
10,1443.0
18,1436.0
15,1483.0
14,1479.0
0,1479.0
13,1467.0
0,1503.0
5,1549.0
1,1424.0
4,1600.0
10,1410.0
16,1562.0
13,1529.0
16,1774.0
18,1481.0
15,1497.0
13,1503.0
13,1394.0
